lat_grid,lon_grid_abs,time_windows,avg_crimes
41.96,87.69,1116,1.6129032258064515
42.02,87.67,1896,3.9298523206751055
41.94,87.69,975,1.4656410256410257
42.0,87.8,277,1.1299638989169676
41.71,87.64,1551,2.135396518375242
42.01,87.69,1372,1.8637026239067056
41.86,87.62,1591,2.3287240729101195
41.73,87.58,1198,1.5901502504173624
41.96,87.64,259,1.2393822393822393
41.68,87.71,174,1.0517241379310345
42.0,87.77,221,1.081447963800905
41.68,87.54,361,1.2022160664819945
41.7,87.69,236,1.1228813559322033
41.71,87.55,365,1.1616438356164382
42.01,87.91,23,1.0434782608695652
42.02,87.7,309,1.1294498381877023
41.86,87.61,225,1.3733333333333333
41.99,87.79,606,1.268976897689769
42.02,87.78,6,1.1666666666666667
41.78,87.57,267,1.1273408239700375
41.77,87.78,233,1.0686695278969958
41.98,87.74,339,1.176991150442478
41.8,87.79,326,1.147239263803681
41.68,87.6,72,1.1527777777777777
42.02,87.71,139,1.0287769784172662
41.79,87.79,621,1.2801932367149758
41.77,87.79,220,1.059090909090909
41.89,87.6,64,1.0625
42.01,87.76,31,1.032258064516129
41.98,87.89,95,1.0526315789473684
42.01,87.77,89,1.0561797752808988
41.69,87.74,5,1.0
41.97,87.82,106,1.0471698113207548
41.97,87.88,22,1.0
41.93,87.82,9,1.0
41.69,87.73,14,1.0
41.74,87.53,9,1.1111111111111112
42.0,87.78,108,1.0740740740740742
42.0,87.88,38,1.0
41.64,87.61,33,1.0303030303030303
41.97,87.91,6,1.0
41.99,87.85,9,1.0
41.66,87.58,22,1.0
41.94,87.63,8,1.0
41.64,87.54,5,1.0
41.82,87.59,12,1.0
41.98,87.86,1,1.0
41.67,87.59,1,1.0
